Item,GSSlabel,label
PRESTG105PLUS,R's occupational prestige score using threshold method (2010),
PRETEEN,Household members 6 thru 12 yrs old,
PRODCTIV,Work conditions allow productivity,
PROMTEFR,Promotions are handled fairly,
PROMTEOK,R's chances for promotion good,
PROUDEMP,R proud to work for employer,
PRVDHLTH,Who provides for sick people,
PRVDOLD,Who provides for old people,
QUALLIFE,R's quality of life,
RACDIF1,Differences due to discrimination,Do you think these differences are...Mainly due to discrimination?
RACDIF2,Differences due to in-born learning ability,Do you think these differences are...Because most Blacks have less in-born ability to learn?
RACDIF3,Differences due to lack of education,"Do you think these differences are...Because most Blacks don't have the chance for education that it takes to rise out of poverty?
"
RACDIF4,Differences due to lack of will,Do you think these differences are...Because most Blacks just don’t have the motivation or will power to pull themselves up out of poverty?
RACE,Race of respondent,
RACECEN1,What Is R's race 1st mention,
RACECEN2,What Is R's race 2nd mention,
RACECEN3,What Is R's race 3rd mention,
RACLIVE,Any opp. race in neighborhood,Are there any {response to racefill} living in your neighborhood now?
RACOPEN,Vote on open housing law,"Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide for himself whom to sell his house to, even if he prefers not to sell to {response to racefill}. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?"
RACWORK,Racial makeup of workplace,"Are the people who work where you work all White, mostly White, about half and half, mostly Black, or all Black?"
RADIOACT,Sci knowledge: the center of earth is very hot,
RANDOM,RANDOMIZATION VARIABLE FOR FORM X,
RANK,R's self ranking of social position,In our society there are groups which tend to be towards the top and those that are towards the bottom. Here we have a scale that runs from top to bottom. Where would you put yourself on this scale?
RATEPAIN,"In the past 7 days, R's average pain",
RATETONE,R's facial coloring by interviewer,
REALINC,Family income in constant $,
REALRINC,R's income in constant $,
REBORN,Has R ever had a 'born again' experience,"Would you say you have been 'born again' or have had a 'born-again' experience, that is, a turning point in your life when you committed yourself to Christ?"
REG16,"Region of residence, age 16",
REGION,Region of interview,
RELACTIV,How often does R take part in relig activities,How often do you take part in the activities and organizations of a church or place of worship other than attending service?
RELATE1,Relationship of 1st person to household head,
RELATE10,Relationship of 10th person to household head,
RELATE11,Relation of 11th person (visitor) to head,
RELATE12,Relation of 12th person (visitor) to head,
RELATE2,Relationship of 2nd person to household head,
RELATE3,Relationship of 3rd person to household head,
RELATE4,Relationship of 4th person to household head,
RELATE5,Relationship of 5th person to household head,
RELATE6,Relationship of 6th person to household head,
RELATE7,Relationship of 7th person to household head,
RELATE8,Relationship of 8th person to household head,
RELATE9,Relationship of 9th person to household head,
RELATSEX,Relation to last sex partner,
RELEXT1,Religious extremists should be allowed to hold public meeting to express views,
RELEXT3,Religious extremists should be allowed to publish their views on the internet,
RELGENBAR,Religions are usually a barrier to equality between women and men,
RELGENEQ,R's religion treats men and women equally,
RELHH1,Relationship of person 1 to head of household,
RELHH10,Relationship of person 10 to head of household,
RELHH11,Relationship of person 11 to head of household,
RELHH12,Relationship of person 12 to head of household,
RELHH2,Relationship of person 2 to head of household,
RELHH3,Relationship of person 3 to head of household,
RELHH4,Relationship of person 4 to head of household,
RELHH5,Relationship of person 5 to head of household,
RELHH6,Relationship of person 6 to head of household,
RELHH7,Relationship of person 7 to head of household,
RELHH8,Relationship of person 8 to head of household,
RELHH9,Relationship of person 9 to head of household,
RELHHD1,Relation of 1st person to household head,
RELHHD10,Relation of 1oth person to household head,
RELHHD11,Relation of 11th person (visitor) to head,
RELHHD12,Relation of 12th person (visitor) to head,
RELHHD2,Relation of 2nd person to household head,
RELHHD3,Relation of 3rd person to household head,
RELHHD4,Relation of 4th person to household head,
RELHHD5,Relation of 5th person to household head,
RELHHD6,Relation of 6th person to household head,
RELHHD7,Relation of 7th person to household head,
RELHHD8,Relation of 8th person to household head,
RELHHD9,Relation of 9th person to household head,
RELIG,R's religious preference,What is your religious preference?
RELIG16,Religion in which raised,
RELIGCON,Religions bring more conflict,
RELIGINT,Religious people are often too intolerant,
RELIGKID,Religion R was raised in,
RELITEN,Strength of affiliation,Would you call yourself a strong {response to religfill} or not a very strong {response to religfill}?
RELMARRY,R accepts a person from a different religion or view from r's marrying relative,
RELOBJCT,"For religious reasons R has in home shrine, altar, or religious object on display",
RELPAST,"In America, religion represents the past and not the future.",
RELPERSN,R consider self a religious person,"To what extent do you consider yourself a religious person? Are you very religious, moderately religious, slightly religious, or not religious at all?"
RELRLVNT,"In America, religion is just as relevant to life today as it was in the past.",
RELSCRPT,R has read religious text outside of a service in the past year,
RELSP1,Relationship of person 1 to spouse of househol,
RELSP10,Relationship of person 10 to spouse of househo,
RELSP11,Relationship of person 11 to spouse of househo,
RELSP12,Relationship of person 12 to spouse of househo,
RELSP2,Relationship of person 2 to spouse of househol,
RELSP3,Relationship of person 3 to spouse of househol,
RELSP4,Relationship of person 4 to spouse of househol,
RELSP5,Relationship of person 5 to spouse of househol,
RELSP6,Relationship of person 6 to spouse of househol,
RELSP7,Relationship of person 7 to spouse of househol,
RELSP8,Relationship of person 8 to spouse of househol,
RELSP9,Relationship of person 9 to spouse of househol,
RELSPRT,Is R spiritual person,
REPTILE,"Reptile (turtle, snake, lizard)",
REPTILEB4,"Reptile (turtle, snake, lizard)",
RES16,Type of place lived in when 16 yrs old,
RESPECT,R treated with respect at work,In your day-to-day life how often have any of the following things happened to you? You are treated with less courtesy or respect than other people.
RESPNUM,Number in family of R,
RESPOND,Estimate of the probability that this household will respond to the survey,
RFAMLOOK,Hours R spends looking after family members,
RGROOMED,R grooming rating,
RHLTHEND,R health rating,
RICHWORK,"If rich, continue or stop working","If you were to get enough money to live as comfortably as you would like for the rest of your life, would you continue to work or would you stop working?"
RIFLE,Rifle in home,"Is it a pistol, shotgun, rifle, or what?"
RINCBLLS,Income alone is enough,
RINCOM16,Respondents income,"In which of these groups did your earnings from your job or jobs for 2019 fall? That is, before taxes or other deductions."
RINCOME,Respondents income,
RLOOKS,R physical attractiveness rating,
ROWNGUN,Does gun belong to R,Do any of these guns personally belong to you?
RPLACE,R's relationship to household head,
RVISITOR,Is R a visitor?,
RWEIGHT,R weight rating,
RXMED,X should take prescription medication,
SAFEFRST,No shortcuts on worker safety,
SAFEHLTH,Safety and health condition good at work,
SAFETYWK,Worker safety priority at work,
SAMPCODE,Sampling error code,
SAMPLE,Sampling frame and method,
SATFAM7,Family satisfaction in general,
SATFIN,Satisfaction with financial situation,"We are interested in how people are getting along financially these days. So far as you and your family are concerned, would you say that you are pretty well satisfied with your present financial situation, more or less satisfied, or not satisfied at all?"
SATJOB,Work satisfaction,"On the whole, how satisfied are you with the work you do -- would you say you are very satisfied, moderately satisfied, a little dissatisfied, or very dissatisfied?"
SATJOB1,Job satisfaction in general,
SATLIFE,R is satisfied with their life,
SATSOC,R's satisfaction with social activities and relationships,
SAVESOUL,Tried to convince others to accept jesus,Have you ever tried to encourage someone to believe in Jesus Christ or accept Jesus Christ as his or her savior?
SCIBNFTS,Benefits of sci research outweigh harmful results,
SCIENTBE,Scientists want to make life better for avg person,
SCIENTGO,Scientists work for good of humanity,
SCIENTHE,Scientists help solve prob,
SCIENTOD,Scientists odd and peculiar,
SCIFROM,Main source of information about science and technology,
SCINEWS1,Newspaper printed or online,
SCINEWS2,Magazine printed or online,
SCINEWS3,Where online get info,
SCISTUDY,R has clear understanding of scientific study,
SCITEXT,What it means to R to study scientifically,
SECONDWK,R has job other than main,
SEEKSCI,Probable source of information about scientific issues,
SEETALK1,How frequently R sees or talks to Person 1,
SEETALK2,How frequently R sees or talks to Person 2,
SEETALK3,How frequently R sees or talks to Person 3,
SEETALK4,How frequently R sees or talks to Person 4,
SEETALK5,How frequently R sees or talks to Person 5,
SEI10,R's socioeconomic index (2010),
SEI10EDUC,Percentage of some college educ in OCC10 based on ACS 2010,
SEI10INC,Percentage of $45k+ earners in OCC10 based on ACS 2010,
SELFHELP,X should join a self-group with similar problem,
SERIOUSP,How serious X s situation is,
SEVERE1,How severe Person 1's mental health problem is,
SEVERE2,How severe Person 2's mental health problem is,
SEVERE3,How severe Person 3's mental health problem is,
SEVERE4,How severe Person 4's mental health problem is,
SEVERE5,How severe Person 5's mental health problem is,
SEX,Respondents sex,"What is {response to sexfill} sex, male or female?"
SEXBIRTH,"What sex were you assigned at birth?  (For example, on your birth certificate.)",Was your sex recorded as male or female at birth?
SEXEDUC,Sex education in public schools,Would you be for or against sex education in the public schools?
SEXFREQ,Frequency of sex during last year,
SEXNOW,What is your current gender?,"Do you describe yourself as male, female, or transgender?"
SEXORNT,Sexual orientation,
SEXSEX,Sex of sex partner's in last year,
SEXSEX5,Sex of sex partner's last five years,
SHOTGUN,Shotgun in home,"Is it a pistol, shotgun, rifle, or what?"
SIBS,Number of brothers and sisters,
SIZE,Size of place in 1000s,
SLFMANGD,R involved in a self-managed team,
SLPPRBLM,Trouble sleeping last 12 months,
SMALLGAP,"For a society to be fair, differences in people's standard of living should be small",
SMAMMAL,"Small mammal (rabbit, gerbil, hamster)",
SMAMMALB4,"Small mammal (rabbit, gerbil, hamster)",
SOCBAR,Spend evening at bar,How often do you go to a bar or tavern?
SOCFREND,Spend evening with friends,How often do you spend a social evening with friends who live outside your neighborhood?
SOCOMMUN,Spend evening with neighbor,How often do you spend a social evening with someone who lives in your neighborhood?
SOCREL,Spend evening with relatives,How often do you spend a social evening with relatives?
SOLARREV,Sci knowledge: how long the earth goes around the sun,
SPANENG,Interviews conducted in Spanish or English,
SPANINT,"If no Spanish, R could have been interviewed in English",
SPANKING,Favor spanking to discipline child,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking?"
SPANSELF,"If this interview had only been available in English, would you...",
SPDEG,Spouse's highest degree,
SPDEN,"Specific denomination, spouse","What specific denomination is that, if any?"
SPEDUC,"Highest year school completed, spouse",
SPEVWORK,Spouse ever work as long as a year,Did your {response to _spfill1} ever work for as long as one year?
SPFALOOK,Hours spouse spends looking after family members,
SPFUND,How fundamentalist is spouse currently,
SPHEALER,X should go to spiritual healer for help,
SPHRS1,Number of hrs spouse worked last week,
SPHRS2,No. of hrs spouse usually works a week,
SPIND10,Spouse's industry code (NAICS 2007),
SPISCO08,"R's Mothers occupation, 2010 census & 2008 ISCO code",
SPISCO88,"R's spouse's occupation, 1980 census & 1988 ISCO code",
SPJew,What sort of Jew Is R's spouse currently,"Does your {response to _spfill1} consider {response to _spfill4}self Orthodox, Conservative, Reform or none of these?"
SPKATH,Allow anti-religionist to speak,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion... If such a person wanted to make a speech in your community against churches and religion, should he be allowed to speak, or not?"
SPKCOM,Allow communist to speak,"Now, we would like to ask you some questions about a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?"
SPKHOMO,Allow homosexual to speak,
SPKLANG,How well Does R speak other language,How well do you speak that language ({BETRLANG})?
SPKMIL,Allow militarist to speak,"Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?"
SPKMSLM,Allow muslim clergymen preaching hatred of the us,"Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States, should he be allowed to speak, or not?"
SPKRAC,Allow racist to speak,"Or, consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior, should he be allowed to speak, or not?"
SPLIVE,How long been living with spouse,
SPOCC10,Spouse census occupation code (2010),
SPOTHER,Other protestant denominations,
SPPRES10,Spouse occupational prestige score (2010),
SPPRES105PLUS,Spouse occupational prestige score using threshold method (2010),
SPREL,Spouse's religious preference,
SPRTPRSN,R consider self a spiritual person,"To what extent do you consider yourself a spiritual person? Are you very spiritual, moderately spiritual, slightly spiritual, or not spiritual at all?"
SPSEI10,R's spouse's socioeconomic index (2010),
SPSEI10EDUC,Percentage of some college educ in SPOCC10 based on ACS 2010,
SPSEI10INC,Percentage of $45k+ earners in SPOCC10 based on ACS 2010,
SPVTRFAIR,Supervisor is fair,
SPWKSUP,DOES SPOUSE SUPERVISE ANYONE,"In your {response to _spfill1}'s job, does he or she supervise anyone who is directly responsible to him or her?"
SPWRKSLF,Spouse self-emp. or works for somebody,
SPWRKSTA,Spouse labor force status,
SRCBELT,SRC beltcode,
STOCKOPS,R hold any stock options of R's company,
STOCKVAL,Total dollar value of R's stock,
STRESS,How often Does R find work stressful,
STRESS12,Stress management program last 12 months,
STRESSES,How likely X s situation caused by stress,
STRREDPG,Access to stress management,
SUICIDE1,Suicide if incurable disease,Do you think a person has the right to end his or her own life if this person...has an incurable disease?
SUICIDE2,Suicide if bankrupt,Do you think a person has the right to end his or her own life if this person...has gone bankrupt?
SUICIDE3,Suicide if dishonored family,Do you think a person has the right to end his or her own life if this person...has dishonored his or her family?
SUICIDE4,Suicide if tired of living,Do you think a person has the right to end his or her own life if this person...is tired of living and ready to die?
SUPCARES,Supervisor concerned about welfare,
SUPERVIS,Does R supervise others at work in main job,
SUPHELP,Supervisor helpful to R in getting job done,
TAX,R's federal income tax,"{taxtxt} Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?"
TEAMSAFE,Mgt and employees work together re safety,
TEENS,Household members 13 thru 17 yrs old,
TEENSEX,Sex before marriage:teens 14-16,"What if they are in their early teens, say 14 to 16 years old? In that case, do you think sex relations before marriage are always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
TEMPGEN,Greenhouse effect danger to envir,
THEISM,God concerned with human beings Personally,
THNKSELF,To think for ones self,
THREATEN,R is threatened or harassed,(In your day-to-day life how often have any of the following things happened to you?) You are threatened or harassed.
TLKCLRGY,X should talk to religious leader,
TLKFAM,X should talk to family and friends,
TOOFAST,Science makes our way of life change too fast,
TOOFEWWK,How often not enough staff,
TRBIGBUS,How much trust R has in major private companies in America,
TRCOURTS,How much trust R has in American courts,
TRDUNION,Workers need strong unions,
TRUST,Can people be trusted,
TRUSTMAN,R trust management at work,
TRUSTSCI,We trust too much in science,
TRYNEWJB,How likely R make effort for new job next year,
TVHOURS,Hours per day watching TV,
UNEMP,Ever unemployed in last ten yrs,
UNHAPPY,How often R was unhappy or depressed in past 4 weeks,
UNION,Does R or spouse belong to union,
UNION1,Does R or spouse or partner belong to union,
UNRELAT,Number in household not related,
UPSDOWNS,How likely X is experiencing normal ups-and-downs of life,
UPSET,How often R's friends or family were angry with R,
USCITZN,Is R US citizen,Now we would like to ask you about U.S. citizenship. Are you…
USEDUP,How often during past month R felt used up,
USETECH,Percentage of time use tech,
USEWWW,R use www other than email,"Other than for e-mail, do you ever use the Internet or World Wide Web?"
USWARY,Expect U.S. in world war in 10 years,Do you expect the United States to fight in another world war within the next ten years?
VERSION,Version of questionnaire,
VETYEARS,Years in armed forces,
VIGFRND,How willing R would make friends with X,
VIGGRP,How willing R would have a group home for x,
VIGLABEL,How likely X is experiencing vignettes,
VIGMAR,How willing R would have X marry in R's family,
VIGNEI,How willing R would have X as a neighbor,
VIGSOC,How willing R would spend time socializing with X,
VIGVERSN, vignette version number,
VIGWORK,How willing R would work closely with X on a job,
VIRUSES,Sci knowledge: antibiotics kill viruses as well as bacteria,
VISITORS,Number of visitoR's in household,
VISNHIST,How often R visited natural history museum last year,
VISSCI,How often R visited science museum,
VISTHOLY,How often R visits holy place for religious reasons,
VISZOO,How often R visited zoo last year,
VOTE12,Did R vote in 2012 election,
VOTE16,REMEMBER IF VOTED IN 2016 ELECTION,"In 2016, you remember that Hillary Clinton ran for President on the Democratic ticket against Donald Trump for the Republicans. Do you remember for sure whether or not you voted in that election?"
VPSU,Variance primary sampling unit,
VSTRAT,Variance stratum,
WATERGEN,Water pollution danger to envir,
WAYPAID,How paid in main job,
WAYRAISE,How likely X s situation caused by the way raised,
WEALTH,Total wealth of respondent,
WEBMOB,R uses home internet through mobile device,"Do you have access to the Internet or World Wide Web in your home through a Internet-enabled mobile device like a smart phone, PDA, or BlackBerry?"
WEEKSWRK,Weeks R worked last year,
WEIGHT,R weighs how much,
WHERE1,Where is 1st person staying?,
WHERE11,Where is 11th person (visitor) staying?,
WHERE2,Where is 2nd person staying?,
WHERE3,Where is 3rd person staying?,
WHERE4,Where is 4th person staying?,
WHERE5,Where is 5th person staying?,
WHERE6,Where is 6th person staying?,
WHERE7,Where is 7th person staying?,
WHOELSE1,Presence of others: children under six,
WHOELSE2,Presence of others: older children,
WHOELSE3,Presence of others: spouse partner,
WHOELSE4,Presence of others: other relatives,
WHOELSE5,Presence of others: other adults,
WHOELSE6,Presence of others: no one,
WHYNOPET,Reason why R's family has no pet,
WHYWKHME,Usual reason R work at home,
WIDOWED,Ever been widowed,Have you ever been widowed?
WKAGEISM,R feels discriminated because of age,
WKDECIDE,How often R take part in decisions,
WKFREEDM,A lot of freedom to decide how to do job,
WKHAROTH,R threatened on the job last 12 months,
WKHARSEX,R sexually harassed on the job last 12 months,
WKPRAISE,R is likely to be praised by supervisor,
WKRACISM,R feels discriminated because of race,
WKSEXISM,R feels discriminated because of gender,
WKSMOOTH,Workplace runs in smooth manner,
WKSUB,Does R or spouse have supervisor,
WKSUB1,Does R or spouse or partneR have a supervisor,
WKSUBS,Does supervisor have supervisor,
WKSUBS1,Does supervisor have supervisor,
WKSUP,Does R or spouse supervise anyone,
WKSUP1,Does R or spouse or partner supervise anyone,
WKSUPS,Does subordinate supervise anyone,
WKSUPS1,Does subordinant supervise anyone,
WKVSFAM,How often job interferes fam life,
WLTHBLKS,Rich - poor,
WLTHHSPS,Rich - poor,
WLTHWHTS,Rich - poor,
WORDA,Word a,
WORDB,Word b,
WORDC,Word c,
WORDD,Word d,
WORDE,Word e,
WORDF,Word f,
WORDG,Word g,
WORDH,Word h,
WORDI,Word i,
WORDJ,Word j,
WORDSUM,Number words correct in vocabulary test,
WORKBLKS,Hard working - lazy,
WORKDIFF,R does numerous things on job,
WORKFAST,Job requires R to work fast,
WORKFOR1,R work for whom,
WORKHARD,To work hard,
WORKHSPS,Hard working -lazy,
WORKWHTS,Hard working - lazy,
WRKGOVT,Govt or private employee,"{response to arewere} you employed by the federal, state, or local government or by a private employer (including non-profit organizations)?"
WRKHOME,How often R works at home,
WRKSCHED,Usual work schedule,
WRKSLF,R self-emp or works for somebody,
WRKSLFFAM,DOES R WORK IN FAMILY BUSINESS OR FARM,"For this job, {response to wrkslffamfill} you work in your own family business or farm?"
WRKSTAT,Labor force status,"Last week were you working full time, part time, going to school, keeping house, or what?Please provide one response only. If you were doing more than one of these last week, select the one closest to the top of the list."
WRKTIME,R has enough time to get the job done,
WRKTYPE,Work arrangement at main job,
WRKWAYUP,Blacks overcome prejudice without favors,"Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with the following statement: Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors."
WTSS,Weight variable,
WTSSALL,Weight variable,
WTSSNR,Weight variable,
WWWHR,Www hours per week,
WWWMIN,Www minutes per week,
XMARSEX,Sex with person other than spouse,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
XMARSEX1,Is extramarital sex wrong?,
XMOVIE,Seen x-rated movie in last year,
XNORCSIZ,Expanded NORC size code,
YEAR,GSS year for this respondent,
YEARSJOB,Time at current job,
YEARSUSA,"LIVED IN U.S., YEARS:",
YEARVAL,Total dollar value of payments in that year,
YOUSUP,How many people do you supervise directly,How many people do you supervise directly?
ZODIAC,Respondents astrological sign,
