,Item,X,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,validresponse_rowcount0s,dontknow_rowcount1s,noanswer_rowcount2s,skippedweb_rowcount3s,notapplicable_rowcount4s,GSSlabel,label,alicia_rating,john-o_rating,
92,NATEDUC,558,10.44111111,35.74666667,8,0.48,900,1,0,3,4311,Improving nations education system,"... are we spending too much, too little, or about the right amount on Improving the nation's education system?",mostly comfortable sharing (2),I don't mind sharing (1),
93,NATEDUCY,559,7.57,47.55428571,5,-0.38,913,4,0,2,4296,Education:Version Y,"... are we spending too much, too little, or about the right amount on Education?",mostly comfortable sharing (2),I don't mind sharing (1),
94,NATENRGY,560,11.86352941,29.91705882,8,0.455,1797,17,1,8,3392,Developing alternative energy sources,"... are we spending too much, too little, or about the right amount on Developing alternative energy sources?",somewhat comfortable sharing (3),I don't mind sharing (1),
95,NATENVIR,561,10.44111111,46.30222222,7,0.66,896,6,0,2,4311,Improving & protecting environment,"... are we spending too much, too little, or about the right amount on Improving and protecting the environment?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
96,NATENVIY,562,7.566666667,47.31666667,5,-0.225,911,5,1,2,4296,The environment:Version Y,"... are we spending too much, too little, or about the right amount on The environment?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
97,NATFARE,563,5.884285714,47.55428571,5,-0.52,891,8,1,4,4311,Welfare,"... are we spending too much, too little, or about the right amount on Welfare?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
98,NATFAREY,564,7.004705882,46.68176471,5,0.115,912,1,0,6,4296,Assistance to the poor:Version Y,"... are we spending too much, too little, or about the right amount on Assistance for the poor?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
99,NATHEAL,565,9.209473684,45.89,7,0.685,885,6,0,13,4311,Improving & protecting nations health,"... are we spending too much, too little, or about the right amount on Improving and protecting the nation's health?",somewhat comfortable sharing (3),I don't mind sharing (1),
100,NATHEALY,566,5.041428571,54.34,4,-0.52,910,4,0,5,4296,Health:Version Y,"... are we spending too much, too little, or about the right amount on Health?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
101,NATMASS,568,7.566666667,40.98333333,5,-0.225,1788,24,0,11,3392,Mass transportation,"... are we spending too much, too little, or about the right amount on Mass transportation?",I don't mind sharing (1),I don't mind sharing (1),
102,NATPARK,571,7.6125,47.0225,5,-0.06,1804,11,1,7,3392,Parks and recreation,"... are we spending too much, too little, or about the right amount on Parks and recreation?",I don't mind sharing (1),I don't mind sharing (1),
103,NATRACE,572,8.474444444,46.30222222,6,0.48,883,8,4,9,4311,Improving the conditions of blacks,"... are we spending too much, too little, or about the right amount on Improving the conditions of Blacks?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
104,NATRACEY,573,6.875,47.0225,5,-0.06,896,12,3,8,4296,Assistance to blacks:Version Y,"... are we spending too much, too little, or about the right amount on Assistance to Blacks?",somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
105,NATSCI,577,9.825,35.1475,7,0.1,1794,20,0,9,3392,Supporting scientific research,"... are we spending too much, too little, or about the right amount on Supporting scientific research?",I don't mind sharing (1),somewhat comfortable sharing (3),
106,NATSOC,578,8.353333333,40.98333333,6,-0.225,1800,12,0,11,3392,Social security,"... are we spending too much, too little, or about the right amount on Social Security?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
107,NATSPAC,579,8.392941176,41.09352941,6,0.115,883,18,0,3,4311,Space exploration program,"... are we spending too much, too little, or about the right amount on The space exploration program?",somewhat comfortable sharing (3),I don't mind sharing (1),
108,NATSPACY,580,7.566666667,47.31666667,5,-0.225,896,21,0,2,4296,Space exploration:Version Y,"... are we spending too much, too little, or about the right amount on Space exploration?",somewhat comfortable sharing (3),I don't mind sharing (1),
109,NEWS,586,8.52,47.44,4,1.86,1179,0,0,0,4036,How often Does R read newspaper,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or never?",I don't mind sharing (1),I don't mind sharing (1),
110,NOTSMART,590,4.097222222,54.685,2.5,0.4575,1191,7,3,4,4010,People act as if they think R is not smart,(In your day-to-day life how often have any of the following things happened to you?) People act as if they think you are not smart.,mostly comfortable sharing (2),mostly comfortable sharing (2),
111,OTHLANG,621,4.790909091,30.50090909,4,-0.895,1809,0,11,3,3392,Can R speak language other than English/Spanish,Can you speak a language other than {response to QUEXLANG:b;L}?,I don't mind sharing (1),I don't mind sharing (1),Check this question and perhaps edit.
112,OWNGUN,629,4.823333333,47.80333333,3,-0.66,1195,0,0,23,3997,Have gun in home,Do you happen to have in your home any guns or revolvers?,I don't mind sharing (1),somewhat uncomfortable sharing (4),
113,PILLOK,674,15.69625,15.20125,14,4.9,1163,9,0,7,4036,Birth control to teenagers 14-16,"Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?",mostly uncomfortable sharing (5),somewhat uncomfortable sharing (4),
114,PISTOL,675,3.755,34.73,3,-1.18,1198,18,2,0,3997,Pistol or revolver in home,"Is it a pistol, shotgun, rifle, or what?",I don't mind sharing (1),mostly comfortable sharing (2),
115,POLVIEWS,682,8.138,25.9,4,3.833333333,1784,16,7,12,3396,Think of self as liberal or conservative,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal—point 1—to extremely conservative—point 7. Where would you place yourself on this scale?,somewhat uncomfortable sharing (4),none of your business (6),
116,POORSERV,683,6.727142857,50.94714286,5,0.74,1189,7,2,7,4010,R recieves poorer service in restaurants or stores,(In your day-to-day life how often have any of the following things happened to you?) You receive poorer service than other people at restaurants or stores.,mostly comfortable sharing (2),I don't mind sharing (1),
117,POPESPKS,684,9.0875,29.21,6,0.1,390,2,3,1,4819,Pope is infallible on matteR's of faith or morals,"Under certain conditions, the pope is infallible when he speaks on matters of faith and morals.",somewhat comfortable sharing (3),somewhat uncomfortable sharing (4),
118,POSTLIFE,689,6.78,47.31666667,5,-0.225,1740,57,3,16,3399,Belief in life after death,Now turning to a different topic: Do you believe there is a life after death?,somewhat comfortable sharing (3),I don't mind sharing (1),
119,PRAY,690,2.483333333,59.86,2,-1.32,1806,1,10,6,3392,How often Does R pray,About how often do you pray?,mostly comfortable sharing (2),mostly uncomfortable sharing (5),
120,PRAYER,691,8.895238095,33.67666667,6,3.75,1168,7,0,5,4035,Bible prayer in public schools,The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?,somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
121,PREMARSX,693,10.24083333,33.58583333,8,4.98,1170,6,1,2,4036,Sex before marriage,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and a woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",somewhat comfortable sharing (3),mostly comfortable sharing (2),
122,PRES16,695,4.964444444,15.56777778,3,-1.005,1259,43,77,12,3824,VOTE CLINTON OR TRUMP,Did you vote for Hillary Clinton or Donald Trump?,somewhat uncomfortable sharing (4),none of your business (6),
123,RACDIF1,706,7.6,41.55,1.5,-1.15,1151,17,1,10,4036,Differences due to discrimination,Do you think these differences are...Mainly due to discrimination?,somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
124,RACDIF2,707,4.4925,52.5425,1.5,-0.7,1165,6,0,7,4037,Differences due to in-born learning ability,Do you think these differences are...Because most Blacks have less in-born ability to learn?,somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
125,RACDIF3,708,5.312391304,47.80413043,2,0.1675,1154,17,1,6,4037,Differences due to lack of education,"Do you think these differences are...Because most Blacks don't have the chance for education that it takes to rise out of poverty?
",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
126,RACDIF4,709,6.282407407,30.05537037,3,0.7275,1152,16,2,8,4037,Differences due to lack of will,Do you think these differences are...Because most Blacks just don’t have the motivation or will power to pull themselves up out of poverty?,somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
127,RACLIVE,714,8.009090909,39.13727273,5,-0.675,1686,130,2,4,3393,Any opp. race in neighborhood,Are there any {response to racefill} living in your neighborhood now?,I don't mind sharing (1),mostly comfortable sharing (2),
128,RACOPEN,715,7.655,42.34388889,5,6.06,601,1,2,2,4609,Vote on open housing law,"Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide for himself whom to sell his house to, even if he prefers not to sell to {response to racefill}. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?",mostly uncomfortable sharing (5),I don't mind sharing (1),
129,RACWORK,716,6.647619048,49.51,4,0.705,621,20,14,7,4553,Racial makeup of workplace,"Are the people who work where you work all White, mostly White, about half and half, mostly Black, or all Black?",I don't mind sharing (1),somewhat uncomfortable sharing (4),
130,RANK,719,4.003076923,45.28641026,2.333333333,1.165,1763,18,6,28,3400,R's self ranking of social position,In our society there are groups which tend to be towards the top and those that are towards the bottom. Here we have a scale that runs from top to bottom. Where would you put yourself on this scale?,somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
131,REBORN,724,11.18206897,34.16241379,6,3.285,1777,15,15,16,3392,Has R ever had a 'born again' experience,"Would you say you have been 'born again' or have had a 'born-again' experience, that is, a turning point in your life when you committed yourself to Christ?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
132,RELACTIV,727,11.76272727,35.86545455,7,1.58,1798,5,9,11,3392,How often does R take part in relig activities,How often do you take part in the activities and organizations of a church or place of worship other than attending service?,mostly comfortable sharing (2),mostly comfortable sharing (2),
133,RELIG,769,7.6,22.55,2,-1.275,1823,0,0,0,3392,R's religious preference,What is your religious preference?,mostly comfortable sharing (2),mostly comfortable sharing (2),
134,RELITEN,774,8.392941176,29.91705882,6,0.285,1823,0,0,0,3392,Strength of affiliation,Would you call yourself a strong {response to religfill} or not a very strong {response to religfill}?,somewhat comfortable sharing (3),mostly comfortable sharing (2),
135,RELPERSN,778,10.95586957,18.89108696,6,0.6275,1806,10,1,6,3392,R consider self a religious person,"To what extent do you consider yourself a religious person? Are you very religious, moderately religious, slightly religious, or not religious at all?",mostly comfortable sharing (2),mostly comfortable sharing (2),
136,RESPECT,797,6.305714286,47.55428571,4.5,0.74,1823,0,0,0,3392,R treated with respect at work,In your day-to-day life how often have any of the following things happened to you? You are treated with less courtesy or respect than other people.,mostly comfortable sharing (2),I don't mind sharing (1),
137,RICHWORK,803,11.34516129,36.48096774,5,3.925,715,0,19,5,4476,"If rich, continue or stop working","If you were to get enough money to live as comfortably as you would like for the rest of your life, would you continue to work or would you stop working?",I don't mind sharing (1),mostly comfortable sharing (2),
138,RIFLE,804,3.755,34.73,3,-1.18,1198,18,2,0,3997,Rifle in home,"Is it a pistol, shotgun, rifle, or what?",I don't mind sharing (1),mostly comfortable sharing (2),
139,RINCOM16,806,3.77326087,43.67369565,2.5,-0.0625,1098,70,0,16,4031,Respondents income,"In which of these groups did your earnings from your job or jobs for 2019 fall? That is, before taxes or other deductions.",mostly comfortable sharing (2),mostly comfortable sharing (2),
140,ROWNGUN,809,6.275555556,47.23444444,3,-1.005,467,0,0,2,4746,Does gun belong to R,Do any of these guns personally belong to you?,I don't mind sharing (1),I don't mind sharing (1),
141,SATFIN,820,11.49454545,33.70636364,7,5.1,1819,1,1,2,3392,Satisfaction with financial situation,"We are interested in how people are getting along financially these days. So far as you and your family are concerned, would you say that you are pretty well satisfied with your present financial situation, more or less satisfied, or not satisfied at all?",I don't mind sharing (1),mostly comfortable sharing (2),
142,SATJOB,821,14.60666667,24.25888889,9,3.765,1219,6,28,8,3954,Work satisfaction,"On the whole, how satisfied are you with the work you do -- would you say you are very satisfied, moderately satisfied, a little dissatisfied, or very dissatisfied?",I don't mind sharing (1),mostly comfortable sharing (2),
143,SAVESOUL,825,9.457142857,22.36714286,8,0.915,1802,2,9,10,3392,Tried to convince others to accept jesus,Have you ever tried to encourage someone to believe in Jesus Christ or accept Jesus Christ as his or her savior?,somewhat comfortable sharing (3),I don't mind sharing (1),
144,SEX,854,3.653333333,15.56777778,3,-1.095,1813,0,10,0,3392,Respondents sex,"What is {response to sexfill} sex, male or female?",I don't mind sharing (1),I don't mind sharing (1),
145,SEXBIRTH,855,3.65,38.1,2,-0.9,1823,0,0,0,3392,"What sex were you assigned at birth?  (For example, on your birth certificate.)",Was your sex recorded as male or female at birth?,I don't mind sharing (1),I don't mind sharing (1),
146,SEXEDUC,856,5.806666667,39.88666667,3,-0.66,1174,3,1,0,4037,Sex education in public schools,Would you be for or against sex education in the public schools?,I don't mind sharing (1),mostly comfortable sharing (2),
147,SEXNOW,858,6.275555556,36.67888889,4,-1.005,1823,0,0,0,3392,What is your current gender?,"Do you describe yourself as male, female, or transgender?",I don't mind sharing (1),I don't mind sharing (1),
148,SHOTGUN,862,3.755,34.73,3,-1.18,1198,18,2,0,3997,Shotgun in home,"Is it a pistol, shotgun, rifle, or what?",I don't mind sharing (1),I don't mind sharing (1),
149,SOCBAR,870,2.47,47.6,2,-1,1178,0,0,1,4036,Spend evening at bar,How often do you go to a bar or tavern?,I don't mind sharing (1),somewhat uncomfortable sharing (4),
150,SOCFREND,871,6.78,47.31666667,5,-0.225,1175,2,0,2,4036,Spend evening with friends,How often do you spend a social evening with friends who live outside your neighborhood?,I don't mind sharing (1),I don't mind sharing (1),
151,SOCOMMUN,872,6.78,47.31666667,5,-0.225,1176,2,1,0,4036,Spend evening with neighbor,How often do you spend a social evening with someone who lives in your neighborhood?,I don't mind sharing (1),I don't mind sharing (1),
152,SOCREL,873,6.01,38.1,4,-0.9,1175,4,0,0,4036,Spend evening with relatives,How often do you spend a social evening with relatives?,I don't mind sharing (1),I don't mind sharing (1),
153,SPANKING,877,12.87565217,31.60826087,10,2.065,1164,7,0,8,4036,Favor spanking to discipline child,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking?",mostly uncomfortable sharing (5),mostly comfortable sharing (2),
154,SPDEN,880,10.74,32.02714286,3,-1.115,1823,0,0,0,3392,"Specific denomination, spouse","What specific denomination is that, if any?",I don't mind sharing (1),I don't mind sharing (1),
155,SPEVWORK,882,3.095384615,40.41461538,2,-0.655,323,0,2,3,4887,Spouse ever work as long as a year,Did your {response to _spfill1} ever work for as long as one year?,I don't mind sharing (1),I don't mind sharing (1),
156,SPJew,891,9.781176471,7.564117647,6,0.455,1823,0,0,0,3392,What sort of Jew Is R's spouse currently,"Does your {response to _spfill1} consider {response to _spfill4}self Orthodox, Conservative, Reform or none of these?",I don't mind sharing (1),I don't mind sharing (1),
157,SPKATH,892,9.082040816,43.03612245,6.333333333,3.645,601,3,0,2,4609,Allow anti-religionist to speak,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion... If such a person wanted to make a speech in your community against churches and religion, should he be allowed to speak, or not?",mostly comfortable sharing (2),mostly comfortable sharing (2),
158,SPKCOM,893,5.807894737,42.76,3.333333333,1.413333333,597,3,2,4,4609,Allow communist to speak,"Now, we would like to ask you some questions about a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?",mostly comfortable sharing (2),mostly comfortable sharing (2),
159,SPKLANG,895,0.6257142857,59.17,1,-1.255,432,0,26,0,4757,How well Does R speak other language,How well do you speak that language ({})?,I don't mind sharing (1),I don't mind sharing (1),
160,SPKMIL,896,9.785555556,38.38555556,6.5,2.64,595,5,1,5,4609,Allow militarist to speak,"Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
161,SPKMSLM,897,9.52,30.89,6.5,3.06,597,3,2,4,4609,Allow muslim clergymen preaching hatred of the us,"Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States, should he be allowed to speak, or not?",mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
162,SPKRAC,898,9.785555556,35.74666667,5.5,2.64,595,4,2,5,4609,Allow racist to speak,"Or, consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior, should he be allowed to speak, or not?",mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
163,SPRTPRSN,905,13.52108696,18.89108696,6,0.6275,1800,8,6,9,3392,R consider self a spiritual person,"To what extent do you consider yourself a spiritual person? Are you very spiritual, moderately spiritual, slightly spiritual, or not spiritual at all?",mostly comfortable sharing (2),I don't mind sharing (1),
164,SPWKSUP,910,10.01904762,26.89095238,5,1.545,1823,0,0,0,3392,DOES SPOUSE SUPERVISE ANYONE,"In your {response to _spfill1}'s job, does he or she supervise anyone who is directly responsible to him or her?",I don't mind sharing (1),I don't mind sharing (1),
165,SUICIDE1,920,8.008181818,40.18363636,4,1.14,1157,13,2,8,4035,Suicide if incurable disease,Do you think a person has the right to end his or her own life if this person...has an incurable disease?,none of your business (6),I don't mind sharing (1),
166,SUICIDE2,921,6.085714286,44.98619048,3,0.705,1168,8,0,4,4035,Suicide if bankrupt,Do you think a person has the right to end his or her own life if this person...has gone bankrupt?,none of your business (6),somewhat uncomfortable sharing (4),
167,SUICIDE3,922,8.52,43.48166667,4,1.86,1168,5,1,6,4035,Suicide if dishonored family,Do you think a person has the right to end his or her own life if this person...has dishonored his or her family?,none of your business (6),somewhat uncomfortable sharing (4),
168,SUICIDE4,923,8.619230769,46.06,5,1.88,1162,6,3,9,4035,Suicide if tired of living,Do you think a person has the right to end his or her own life if this person...is tired of living and ready to die?,none of your business (6),mostly comfortable sharing (2),
169,TAX,927,8.771304348,35.73869565,5,1.605,1190,16,2,8,3999,R's federal income tax,"{taxtxt} Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?",I don't mind sharing (1),I don't mind sharing (1),
170,TEENSEX,930,6.725263158,38.39,4.5,2.3,1167,3,2,7,4036,Sex before marriage:teens 14-16,"What if they are in their early teens, say 14 to 16 years old? In that case, do you think sex relations before marriage are always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",none of your business (6),somewhat uncomfortable sharing (4),
171,THREATEN,934,4.254545455,47.77363636,3,-0.18,1198,3,1,3,4010,R is threatened or harassed,(In your day-to-day life how often have any of the following things happened to you?) You are threatened or harassed.,mostly comfortable sharing (2),I don't mind sharing (1),
172,USCITZN,954,2.311428571,25.24142857,1,-0.94,1810,0,0,4,3401,Is R US citizen,Now we would like to ask you about U.S. citizenship. Are you…,I don't mind sharing (1),I don't mind sharing (1),
173,USEWWW,957,5.206666667,40.98333333,3,-0.225,108,0,0,0,5107,R use www other than email,"Other than for e-mail, do you ever use the Internet or World Wide Web?",I don't mind sharing (1),I don't mind sharing (1),
174,USWARY,958,7.004705882,46.68176471,4,0.285,549,23,1,2,4640,Expect U.S. in world war in 10 years,Do you expect the United States to fight in another world war within the next ten years?,somewhat uncomfortable sharing (4),I don't mind sharing (1),
175,VOTE16,976,10.51166667,23.82712121,6.5,2.3775,1710,0,109,4,3392,REMEMBER IF VOTED IN 2016 ELECTION,"In 2016, you remember that Hillary Clinton ran for President on the Democratic ticket against Donald Trump for the Republicans. Do you remember for sure whether or not you voted in that election?",I don't mind sharing (1),I don't mind sharing (1),
176,WEBMOB,983,11.54740741,20.74037037,7,3.225,172,0,9,0,5034,R uses home internet through mobile device,"Do you have access to the Internet or World Wide Web in your home through a Internet-enabled mobile device like a smart phone, PDA, or BlackBerry?",I don't mind sharing (1),I don't mind sharing (1),
177,WIDOWED,1002,2.88,41.55,2,-1.375,1229,0,1,3,3982,Ever been widowed,Have you ever been widowed?,I don't mind sharing (1),I don't mind sharing (1),
178,WRKGOVT,1042,15.63809524,-0.2519047619,11,1.965,1743,24,1,19,3428,Govt or private employee,"{response to arewere} you employed by the federal, state, or local government or by a private employer (including non-profit organizations)?",I don't mind sharing (1),I don't mind sharing (1),
179,WRKSLFFAM,1046,5.993333333,40.98333333,4,-0.225,1823,0,0,0,3392,DOES R WORK IN FAMILY BUSINESS OR FARM,"For this job, {response to wrkslffamfill} you work in your own family business or farm?",I don't mind sharing (1),I don't mind sharing (1),
180,WRKSTAT,1047,4.198571429,49.81619048,3,1.44,1821,0,0,2,3392,Labor force status,"Last week were you working full time, part time, going to school, keeping house, or what?Please provide one response only. If you were doing more than one of these last week, select the one closest to the top of the list.",I don't mind sharing (1),I don't mind sharing (1),
181,WRKWAYUP,1050,13.70256098,19.73304878,12,4.3425,1168,8,1,1,4037,Blacks overcome prejudice without favors,"Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with the following statement: Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
182,XMARSEX,1056,15.87393939,32.59363636,16,4.935,1204,6,1,5,3999,Sex with person other than spouse,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",somewhat uncomfortable sharing (4),I don't mind sharing (1),
183,YOUSUP,1064,9.054285714,45.59857143,4,-1.115,325,2,0,0,4888,How many people do you supervise directly,How many people do you supervise directly?,I don't mind sharing (1),I don't mind sharing (1),